,tweet_id,timestamp,tweet_text
0,1237789558390939648,2020-03-11 17:16:42,"for the first time, things feel like they are working. and for the first time, i do not feel anxious that something bad will happen. i feel so grateful for my life and where i am. #happy"
1,1237789128625762305,2020-03-11 17:14:59,life is beautiful. enjoy it while you can. #journey #happiness #om
2,1237787231017938944,2020-03-11 17:07:27,"so, a (very) short prose text of mine got published in my university's writing society magazine and i solemnly felt more proud about something i have written. #happy #writing"
3,1237779822635614213,2020-03-11 16:38:01,i am genuinely having a good day and it feels great! #happy #beinthemoment
4,1237768647507988485,2020-03-11 15:53:36,blessed to know i have different close friends for different hobbies/passion of mine 🙏🏽 #happy
6,1237752034926854145,2020-03-11 14:47:36,"if you want to make everyone happy, do not be a leader. sell ice cream #happy"
7,1237745650592174081,2020-03-11 14:22:13,true happiness for me is in giving.  something just happens in my life when i give. #giving #happiness
8,1237742372886323200,2020-03-11 14:09:12,“love is that condition in which the happiness of another person is essential to your own.” #happiness
9,1237723390716362753,2020-03-11 12:53:46,happy wednesday friends and fam! hope your day is filled with accomplishments and happiness! #happiness
10,1237720836657655809,2020-03-11 12:43:37,best morning after a good sleep.  #happy
11,1237717358619365377,2020-03-11 12:29:48,today i choose to be happy.  #happy #choosetobehappy
13,1237701549679415296,2020-03-11 11:26:59,the happier you the happier people around you.  #wednesdaymood #happiness
14,1237700094276894720,2020-03-11 11:21:12,do not look down in people who are struggling hard in life.they have responsibilities and make their loved one happy  #struggle #happiness
15,1237687247538761728,2020-03-11 10:30:09,"""most folks are as happy as they make up their minds to be."" ~ abraham lincoln #happiness #quotes"
16,1237687225854263296,2020-03-11 10:30:04,"""some cause happiness wherever they go; others whenever they go."" ~ oscar wide #happiness #quotes"
17,1237685182846636033,2020-03-11 10:21:57,you are admired by @bestbotbetter #happiness  #happiness  #keeponkeepingon
18,1237683965860986883,2020-03-11 10:17:07,i am happy  #happy
19,1237662126547795968,2020-03-11 08:50:20,"it gives me great satisfaction to know that not only do i create income for myself, i also create for others. #happy"
20,1237657031240069120,2020-03-11 08:30:05,"""the constitution only gives people the right to pursue happiness. you have to catch it yourself."" ~ benjamin franklin #happiness #quotes"
21,1237648163999232001,2020-03-11 07:54:51,recognize that you are secretly an inspiration to many people around you.  😌 #meditation #happiness
